city,cityN
柏林,C1
旧金山,C2
巴黎,C3
纽约,C4
巴厘岛,C5
巴塞罗那,C6
东京,C7
珀斯,C8
新加坡,C9
普吉岛,C10
伦敦,C11
阿姆斯特丹,C12
布鲁塞尔,C13
大阪,C14
曼谷,C15
岘港,C16
布里斯班,C17
墨尔本,C18
首尔,C19
夏威夷欧胡岛（檀香山）,C20
京都,C21
悉尼,C22
台北,C23
北海道--札幌,C24
长崎,C25
香港,C26
西雅图,C27
济州岛,C28
温哥华,C29
多伦多,C30
拉斯维加斯,C31
吉隆坡,C32
奥克兰,C33
高雄,C34
凯恩斯,C35
米兰,C36
洛杉矶,C37
甲米,C38
罗马,C39
巴尔的摩,C40
华盛顿,C41
雅加达,C42
爱丁堡,C43
波士顿,C44
清迈,C45
花莲,C46
嘉义,C47
垦丁,C48
台中,C49
芽庄,C50
奥兰多,C51
苏黎世,C52
阿德莱德,C53
卡尔加里,C54
苏梅岛,C55
槟城,C56
杜塞尔多夫,C57
圣彼得堡,C58
蒙特利尔,C59
金边,C60
名古屋,C61
芝加哥,C62
新山,C63
暹粒,C64
沙巴--亚庇,C65
澳门,C66
迈阿密,C67
黄金海岸,C68
迪拜,C69
亚特兰大,C70
楠迪,C71
冲绳--那霸,C72
塞维利亚,C73
里斯本,C74
莫斯科,C75
维也纳,C76
渥太华,C77
雅典,C78
兰卡威,C79
尼斯,C80
慕尼黑,C81
马德里,C82
基督城,C83
蒂卡波湖,C84
开普敦,C85
圣地亚哥,C86
霍巴特,C87
盐湖城,C88
休斯敦,C89
箱根,C90
法兰克福,C91
福冈,C92
阿布扎比,C93
布达佩斯,C94
里昂,C95
河内,C96
胡志明市,C97
马尼拉,C98
御殿场市,C99
威尼斯,C100
那不勒斯,C101
富山市,C102
布拉格,C103
曼彻斯特,C104
布法罗,C105
奥斯陆,C106
丹佛,C107
费城,C108
神户,C109
富士山,C110
台南,C111
马赛,C112
佛罗伦萨,C113
哥本哈根,C114
波尔多,C115
静冈县,C116
考文垂,C117
谢菲尔德,C118
奈良,C119
星野度假村,C120
芭堤雅,C121
熊本市,C122
日内瓦,C123
斯德哥尔摩,C124
约克,C125
富士河口湖,C126
底特律,C127
维多利亚,C128
赫尔辛基,C129
金泽,C130
大西洋城,C131
皇后镇,C132
卡萨布兰卡,C133
伊尔库茨克,C134
南投,C135
新竹,C136
科隆,C137
夏威夷大岛,C138
塞班岛,C139
哥德堡,C140
因特拉肯,C141
横滨,C142
福森,C143
仰光,C144
新北,C145
大叻,C146
格拉纳达,C147
釜山,C148
汉密尔顿,C149
万象,C150
冲绳市,C151
科茨沃尔德,C152
哈尔施塔特,C153
萨尔茨堡,C154
洞爷湖,C155
北海道--函馆,C156
汉堡,C157
夏威夷茂宜岛,C158
达拉斯,C159
华欣,C160
毛里求斯,C161
堪培拉,C162
都柏林,C163
阿维尼翁,C164
北海道--旭川,C165
伊斯坦布尔,C166
墨西哥城,C167
云顶高原,C168
富良野,C169
阿里山,C170
开罗,C171
北海道--登别,C172
千叶,C173
马拉加,C174
利瓦绿洲,C175
拉科鲁尼亚,C176
波尔图,C177
华沙,C178
斯克兰顿（宾夕法尼亚州）,C179
千叶市,C180
轻井泽,C181
惠灵顿,C182
温莎,C183
上海,C184
巴伦西亚,C185
北海道--小樽,C186
约翰内斯堡,C187
广岛,C188
贝尔法斯特,C189
雷克雅未克,C190
宿务,C191
伯明翰,C192
富国岛,C193
加德满都,C194
卢塞恩,C195
阿尔勒,C196
多哈,C197
成田市,C198
岐阜县,C199
摩纳哥,C200
宜兰,C201
牛津,C202
巴斯,C203
戛纳,C204
圣保罗,C205
